time,dom_cluster
2011-06-01 00:00:00,1
2011-06-30 00:00:00,1
2011-07-02 00:00:00,1
2011-07-07 00:00:00,2
2011-07-13 00:00:00,1
2011-07-25 00:00:00,1
2011-07-28 12:00:00,1
2011-08-12 12:00:00,1
2011-08-14 12:00:00,1
2011-08-22 12:00:00,2
2011-10-29 12:00:00,4
2011-12-13 12:00:00,0
2011-12-22 12:00:00,1
2011-12-31 00:00:00,1
2012-01-03 00:00:00,1
2012-01-17 00:00:00,3
2012-02-04 00:00:00,1
2012-02-09 12:00:00,3
2012-02-17 12:00:00,1
2012-02-25 00:00:00,1
2012-03-23 00:00:00,4
2012-03-29 00:00:00,1
2012-04-02 12:00:00,1
2012-04-05 00:00:00,1
2012-04-17 00:00:00,2
2012-04-26 00:00:00,1
2012-05-12 12:00:00,1
2012-05-31 00:00:00,4
